year,month,day,luna
2007,10,19,10
2007,10,25,20
2007,11,1,30
2007,11,9,0
2007,11,17,10
2007,11,24,20
2007,12,1,30
2007,12,9,0
2007,12,17,10
2007,12,23,20
2007,12,30,30
2008,1,8,0
2008,1,15,10
2008,1,22,20
2008,1,29,30
2008,2,6,0
2008,2,13,10
2008,2,20,20
2008,2,28,30
2008,3,7,0
2008,3,14,10
2008,3,21,20
2008,3,29,30
2008,4,5,0
2008,4,12,10
2008,4,20,20
2008,4,28,30
2008,5,5,0
2008,5,11,10
2008,5,19,20
2008,5,27,30
2008,6,3,0
2008,6,10,10
2008,6,18,20
2008,6,26,30
2008,7,2,0
2008,7,9,10
2008,7,18,20
2008,7,25,30
2008,8,1,0
2008,8,8,10
2008,8,16,20
2008,8,23,30
2008,8,30,0
2008,9,7,10
2008,9,15,20
2008,9,21,30
2008,9,29,0
2008,10,7,10
2008,10,14,20
2008,10,21,30
2008,10,28,0
2008,11,5,10
2008,11,12,20
2008,11,19,30
2008,11,27,0
2008,12,5,10
2008,12,12,20
2008,12,19,30
2008,12,27,0
2009,1,4,10
2009,1,10,20
2009,1,17,30
2009,1,25,0
2009,2,2,10
2009,2,9,20
2009,2,16,30
2009,2,24,0
2009,3,3,10
2009,3,10,20
2009,3,18,30
2009,3,26,0
2009,4,2,10
2009,4,9,20
2009,4,17,30
2009,4,24,0
2009,5,1,10
2009,5,8,20
2009,5,17,30
2009,5,24,0
2009,5,30,10
2009,6,7,20
2009,6,15,30
2009,6,22,0
2009,6,29,10
2009,7,7,20
2009,7,15,30
2009,7,21,0
2009,7,28,10
2009,8,5,20
2009,8,13,30
2009,8,20,0
2009,8,27,10
2009,9,4,20
2009,9,11,30
2009,9,18,0
2009,9,25,10
2009,10,3,20
2009,10,11,30
2009,10,17,0
2009,10,25,10
2009,11,2,20
2009,11,9,30
2009,11,16,0
2009,11,24,10
2009,12,1,20
2009,12,8,30
2009,12,16,0
2009,12,24,10
2009,12,31,20
2010,1,7,30
2010,1,14,0
2010,1,23,10
2010,1,29,20
2010,2,5,30
2010,2,13,0
2010,2,21,10
2010,2,28,20
2010,3,7,30
2010,3,15,0
2010,3,23,10
2010,3,29,20
2010,4,6,30
2010,4,14,0
2010,4,21,10
2010,4,28,20
2010,5,5,30
2010,5,13,0
2010,5,20,10
2010,5,27,20
2010,6,4,30
2010,6,12,0
2010,6,18,10
2010,6,26,20
2010,7,4,30
2010,7,11,0
2010,7,18,10
2010,7,25,20
2010,8,2,30
2010,8,9,0
2010,8,16,10
2010,8,24,20
2010,9,1,30
2010,9,8,0
2010,9,14,10
2010,9,23,20
2010,9,30,30
2010,10,7,0
2010,10,14,10
2010,10,22,20
2010,10,30,30
2010,11,5,0
2010,11,13,10
2010,11,21,20
2010,11,28,30
2010,12,5,0
2010,12,13,10
2010,12,21,20
2010,12,27,30
2011,1,4,0
2011,1,12,10
2011,1,19,20
2011,1,26,30
2011,2,2,0
2011,2,10,10
2011,2,18,20
2011,2,24,30
2011,3,4,0
2011,3,12,10
2011,3,19,20
2011,3,26,30
2011,4,3,0
2011,4,11,10
2011,4,17,20
2011,4,24,30
2011,5,2,0
2011,5,10,10
2011,5,17,20
2011,5,24,30
2011,6,1,0
2011,6,8,10
2011,6,15,20
2011,6,23,30
2011,7,1,0
2011,7,7,10
2011,7,14,20
2011,7,22,30
2011,7,30,0
2011,8,6,10
2011,8,13,20
2011,8,21,30
2011,8,28,0
2011,9,4,10
2011,9,12,20
2011,9,20,30
2011,9,27,0
2011,10,3,10
2011,10,11,20
2011,10,19,30
2011,10,26,0
2011,11,2,10
2011,11,10,20
2011,11,18,30
2011,11,24,0
2011,12,2,10
2011,12,10,20
2011,12,17,30
2011,12,24,0
2011,12,31,10
2012,1,8,20
2012,1,16,30
2012,1,22,0
2012,1,30,10
2012,2,7,20
2012,2,14,30
2012,2,21,0
2012,2,29,10
2012,3,8,20
2012,3,14,30
2012,3,22,0
2012,3,30,10
2012,4,6,20
2012,4,13,30
2012,4,21,0
2012,4,29,10
2012,5,5,20
2012,5,12,30
2012,5,20,0
2012,5,28,10
2012,6,4,20
2012,6,11,30
2012,6,19,0
2012,6,26,10
2012,7,3,20
2012,7,10,30
2012,7,18,0
2012,7,26,10
2012,8,1,20
2012,8,9,30
2012,8,17,0
2012,8,24,10
2012,8,31,20
2012,9,8,30
2012,9,15,0
2012,9,22,10
2012,9,29,20
2012,10,8,30
2012,10,15,0
2012,10,21,10
2012,10,29,20
2012,11,6,30
2012,11,13,0
2012,11,20,10
2012,11,28,20
2012,12,6,30
2012,12,13,0
2012,12,19,10
2012,12,28,20
2013,1,4,30
2013,1,11,0
2013,1,18,10
2013,1,26,20
2013,2,3,30
2013,2,9,0
2013,2,17,10
2013,2,25,20
2013,3,4,30
2013,3,11,0
2013,3,19,10
2013,3,27,20
2013,4,2,30
2013,4,10,0
2013,4,18,10
2013,4,25,20
2013,5,2,30
2013,5,9,0
2013,5,17,10
2013,5,24,20
2013,5,31,30
2013,6,8,0
2013,6,16,10
2013,6,23,20
2013,6,29,30
2013,7,8,0
2013,7,15,10
2013,7,22,20
2013,7,29,30
2013,8,6,0
2013,8,14,10
2013,8,20,20
2013,8,28,30
2013,9,5,0
2013,9,12,10
2013,9,19,20
2013,9,26,30
2013,10,4,0
2013,10,11,10
2013,10,18,20
2013,10,26,30
2013,11,3,0
2013,11,9,10
2013,11,17,20
2013,11,25,30
2013,12,2,0
2013,12,9,10
2013,12,17,20
2013,12,25,30
2014,1,1,0
2014,1,7,10
2014,1,15,20
2014,1,23,30
2014,1,30,0
2014,2,6,10
2014,2,14,20
2014,2,22,30
2014,2,28,0
2014,3,8,10
2014,3,16,20
2014,3,23,30
2014,3,30,0
2014,4,7,10
2014,4,15,20
2014,4,22,30
2014,4,28,0
2014,5,6,10
2014,5,14,20
2014,5,21,30
2014,5,28,0
2014,6,5,10
2014,6,12,20
2014,6,19,30
2014,6,27,0
2014,7,5,10
2014,7,12,20
2014,7,18,30
2014,7,26,0
2014,8,3,10
2014,8,10,20
2014,8,17,30
2014,8,25,0
2014,9,2,10
2014,9,8,20
2014,9,15,30
2014,9,23,0
2014,10,1,10
2014,10,8,20
2014,10,15,30
2014,10,23,0
2014,10,30,10
2014,11,6,20
2014,11,14,30
2014,11,22,0
2014,11,29,10
2014,12,6,20
2014,12,14,30
2014,12,21,0
2014,12,28,10
2015,1,4,20
2015,1,13,30
2015,1,20,0
2015,1,26,10
2015,2,3,20
2015,2,11,30
2015,2,18,0
2015,2,25,10
2015,3,5,20
2015,3,13,30
2015,3,20,0
2015,3,27,10
2015,4,4,20
2015,4,11,30
2015,4,18,0
2015,4,25,10
2015,5,3,20
2015,5,11,30
2015,5,17,0
2015,5,25,10
2015,6,2,20
2015,6,9,30
2015,6,16,0
2015,6,24,10
2015,7,1,20
2015,7,8,30
2015,7,15,0
2015,7,23,10
2015,7,31,20
2015,8,6,30
2015,8,14,0
2015,8,22,10
2015,8,29,20
2015,9,5,30
2015,9,12,0
2015,9,21,10
2015,9,27,20
2015,10,4,30
2015,10,12,0
2015,10,20,10
2015,10,27,20
2015,11,3,30
2015,11,11,0
2015,11,18,10
2015,11,25,20
2015,12,2,30
2015,12,11,0
2015,12,18,10
2015,12,25,20
2016,1,1,30
2016,1,9,0
2016,1,16,10
2016,1,23,20
2016,1,31,30
2016,2,8,0
2016,2,14,10
2016,2,22,20
2016,3,1,30
2016,3,8,0
2016,3,15,10
2016,3,23,20
2016,3,31,30
2016,4,7,0
2016,4,13,10
2016,4,21,20
2016,4,29,30
2016,5,6,0
2016,5,13,10
2016,5,21,20
2016,5,29,30
2016,6,4,0
2016,6,12,10
2016,6,20,20
2016,6,27,30
2016,7,4,0
2016,7,11,10
2016,7,19,20
2016,7,26,30
2016,8,2,0
2016,8,10,10
2016,8,18,20
2016,8,24,30
2016,9,1,0
2016,9,9,10
2016,9,16,20
2016,9,23,30
2016,9,30,0
2016,10,8,10
2016,10,15,20
2016,10,22,30
2016,10,30,0
2016,11,7,10
2016,11,14,20
2016,11,21,30
2016,11,29,0
2016,12,7,10
2016,12,13,20
2016,12,20,30
2016,12,28,0
2017,1,5,10
2017,1,12,20
2017,1,19,30
2017,1,27,0
2017,2,3,10
2017,2,10,20
2017,2,18,30
2017,2,26,0
2017,3,5,10
2017,3,12,20
2017,3,20,30
2017,3,27,0
2017,4,3,10
2017,4,10,20
2017,4,19,30
2017,4,26,0
2017,5,2,10
2017,5,10,20
2017,5,18,30
2017,5,25,0
2017,6,1,10
2017,6,9,20
2017,6,17,30
2017,6,23,0
2017,6,30,10
2017,7,8,20
2017,7,16,30
2017,7,23,0
2017,7,30,10
2017,8,7,20
2017,8,14,30
2017,8,21,0
2017,8,29,10
2017,9,6,20
2017,9,12,30
2017,9,19,0
2017,9,27,10
2017,10,5,20
2017,10,12,30
2017,10,19,0
2017,10,27,10
2017,11,3,20
2017,11,10,30
2017,11,18,0
2017,11,26,10
2017,12,3,20
2017,12,9,30
2017,12,17,0
2017,12,26,10
2018,1,1,20
2018,1,8,30
2018,1,16,0
2018,1,24,10
2018,1,31,20
2018,2,7,30
2018,2,15,0
2018,2,23,10
2018,3,1,20
2018,3,9,30
2018,3,17,0
2018,3,24,10
2018,3,31,20
2018,4,8,30
2018,4,15,0
2018,4,22,10
2018,4,29,20
2018,5,7,30
2018,5,15,0
2018,5,21,10
2018,5,29,20
2018,6,6,30
2018,6,13,0
2018,6,20,10
2018,6,27,20
2018,7,6,30
2018,7,12,0
2018,7,19,10
2018,7,27,20
2018,8,4,30
2018,8,11,0
2018,8,18,10
2018,8,26,20
2018,9,2,30
2018,9,9,0
2018,9,16,10
2018,9,24,20
2018,10,2,30
2018,10,8,0
2018,10,16,10
2018,10,24,20
2018,10,31,30
2018,11,7,0
2018,11,15,10
2018,11,22,20
2018,11,29,30
2018,12,6,0
2018,12,15,10
2018,12,22,20
2018,12,29,30
2019,1,5,0
2019,1,13,10
2019,1,20,20
2019,1,27,30
2019,2,4,0
2019,2,12,10
2019,2,19,20
2019,2,26,30
2019,3,6,0
2019,3,14,10
2019,3,20,20
2019,3,27,30
2019,4,5,0
2019,4,12,10
2019,4,19,20
2019,4,26,30
2019,5,4,0
2019,5,11,10
2019,5,18,20
2019,5,26,30
2019,6,3,0
2019,6,9,10
2019,6,17,20
2019,6,25,30
2019,7,2,0
2019,7,9,10
2019,7,16,20
2019,7,24,30
